perfil;documento;cnpj_basico;uf;municipio_ibge;cultura_referencia;divida_ativa_total;divida_ativa_ajuizada;n_inscricoes;delta_divida_2_trimestres;flag_divida_previdenciaria;flag_divida_fgts;idade_empresa_meses;capital_social;porte;natureza_juridica;situacao_cadastral;flag_situacao_irregular;cnae_principal;flag_cnae_agro;n_filiais;n_socios;n_empresas_do_socio;n_empresas_do_socio_com_divida_ativa;n_empresas_do_socio_inaptas;n_autos_infracao;valor_multas_ambientais;flag_embargo_ativo;area_embargada_ha;volume_credito_rural_municipio;n_contratos_municipio;ticket_medio_municipio;credito_por_hectare_municipio;acionamentos_proagro_municipio;produtividade_municipal_cultura;desvio_produtividade_vs_media_5a;area_plantada_municipio_cultura;precipitacao_acumulada_ciclo;precipitacao_vs_normal_climatologica;dias_secos_consecutivos_max;anomalia_na_fase_critica;n_protestos_ativos;valor_total_protestado;dias_desde_protesto_mais_recente;n_cartorios_distintos;alvo_sintetico
passivo_ambiental_embargo;42713008000145;42713008;RS;1296511;soja;0.0;0.0;0;0.0;False;False;145;226058.41;01;2240;02;False;0121101;True;0;5;0;0;0;7;181141.4;True;899.17;;;;;;;;;;;;;;;;;0
limpo;29944139000175;29944139;GO;3763424;soja;0.0;0.0;0;0.0;False;False;472;44406.95;03;2135;02;False;0116401;True;0;4;1;1;0;0;0.0;False;0.0;2844536.11;3158;900.74;4170.84;;3496.6;-0.1391;1857.33;;;;;;;;;0
divida_ativa;61167978000137;61167978;RS;1296511;soja;89578.14;86427.18;3;9122.0;False;False;456;12548.65;01;4014;02;False;0133403;True;0;3;2;1;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;1
limpo;63349308000167;63349308;PI;1498259;soja;0.0;0.0;0;0.0;False;False;330;11210.21;03;4014;02;False;0115600;True;0;4;2;2;1;0;0.0;False;0.0;5961831.05;452;13189.89;2292.48;;3510.9;-0.3402;43788.4;;;;;;;;;0
limpo;23212812000104;23212812;TO;2599733;soja;0.0;0.0;0;0.0;False;False;35;10520.64;01;2240;02;False;0115600;True;0;6;0;0;0;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
limpo;85957578000193;85957578;RS;2897684;soja;0.0;0.0;0;0.0;False;False;252;14580.68;01;2054;02;False;0151201;True;0;1;0;0;0;0;0.0;False;0.0;25576731.08;1000;25576.73;5293.87;;3022.4;-0.1789;34484.31;791.9;0.1416;23;-0.3386;6;30885.33;479;2;0
limpo;56381032000139;56381032;SP;1144522;soja;0.0;0.0;0;0.0;False;False;315;323871.7;03;2062;02;False;0116401;True;0;6;1;1;0;0;0.0;False;0.0;22685314.17;3452;6571.64;4478.12;;3859.7;-0.1003;15013.11;975.4;-0.3231;19;-0.3987;;;;;1
limpo;11086890000112;11086890;GO;3763424;soja;0.0;0.0;0;0.0;False;False;514;1065232.04;03;2135;02;False;0311601;True;1;4;2;2;0;0;0.0;False;0.0;2844536.11;3158;900.74;4170.84;;3496.6;-0.1391;1857.33;;;;;;;;;0
divida_ativa;98473848000132;98473848;PA;3572518;soja;3039.1;938.88;8;-830.61;True;True;308;9295.91;03;2054;02;False;0113000;True;0;6;0;0;0;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;;;;;0
passivo_ambiental_auto;44489940000161;44489940;MG;2246509;soja;0.0;0.0;0;0.0;False;False;123;86140.55;01;2054;02;False;0220901;True;0;7;1;0;0;13;105239.76;False;0.0;18573077.57;406;45746.5;1183.29;;3809.0;-0.3511;358203.19;;;;;;;;;0
limpo;45186708000117;45186708;BA;3797806;soja;0.0;0.0;0;0.0;False;False;31;6469.67;03;4014;02;False;0116401;True;0;8;1;1;0;0;0.0;False;0.0;4577751.8;3577;1279.77;1116.86;;3266.8;-0.1381;29664.1;1160.2;-0.1501;25;-0.5722;0;0.0;;0;0
limpo;76118957000107;76118957;GO;3355082;soja;0.0;0.0;0;0.0;False;False;559;8065.25;03;4014;02;False;0113000;True;1;2;2;1;1;0;0.0;False;0.0;344902.69;1555;221.8;1341.28;;3426.5;-0.1292;14743.52;1302.6;0.1067;12;-0.0223;;;;;0
limpo;59731689000177;59731689;MG;2246509;soja;0.0;0.0;0;0.0;False;False;382;1163.9;03;2062;02;False;0121101;True;0;2;0;0;0;0;0.0;False;0.0;18573077.57;406;45746.5;1183.29;;3809.0;-0.3511;358203.19;;;;;;;;;0
limpo;38468360000195;38468360;BA;3797806;soja;0.0;0.0;0;0.0;False;False;134;42380.49;05;2135;02;False;0111301;True;1;4;0;0;0;0;0.0;False;0.0;4577751.8;3577;1279.77;1116.86;;3266.8;-0.1381;29664.1;1160.2;-0.1501;25;-0.5722;4;57060.85;339;1;0
limpo;29419691000144;29419691;GO;3838683;soja;0.0;0.0;0;0.0;False;False;140;7641358.06;01;2240;02;False;0116401;True;0;1;0;0;0;0;0.0;False;0.0;8577457.59;2126;4034.55;3501.48;;;;;;;;;1;27824.16;434;1;0
limpo;58592048000116;58592048;RS;1296511;soja;0.0;0.0;0;0.0;False;False;539;481835.15;03;2054;02;False;0115600;True;0;8;2;1;1;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
divida_ativa;69533928000138;69533928;GO;2856025;soja;28793.59;17976.34;9;7766.27;True;False;307;473902.19;03;4014;02;False;0311601;True;0;2;0;0;0;0;0.0;False;0.0;4215365.78;477;8837.24;5811.42;;1816.6;-0.0367;157568.54;1022.2;-0.0563;11;-0.2071;;;;;0
passivo_ambiental_auto;83998961000164;83998961;TO;1628136;soja;0.0;0.0;0;0.0;False;False;353;440925.28;05;2062;02;False;0210101;True;0;5;0;0;0;7;15126.8;False;0.0;22713744.04;630;36053.56;4855.95;;;;;;;;;;;;;0
divida_ativa;73655158000173;73655158;TO;2782512;soja;88466.16;71814.11;9;-22294.82;False;False;131;288976.54;03;2240;02;False;0121101;True;1;1;0;0;0;0;0.0;False;0.0;;;;;;2863.3;-0.1129;5150.27;910.7;0.2631;25;0.1329;;;;;0
limpo;23905032000131;23905032;GO;3838683;soja;0.0;0.0;0;0.0;False;False;364;502098.03;03;4014;02;False;0116401;True;1;1;2;2;1;0;0.0;False;0.0;8577457.59;2126;4034.55;3501.48;;;;;;;;;;;;;0
divida_ativa;51471222000123;51471222;MG;2246509;soja;10846.32;9434.81;7;-2650.1;False;False;99;174277.87;03;2054;02;False;0210101;True;0;5;1;1;0;0;0.0;False;0.0;18573077.57;406;45746.5;1183.29;;3809.0;-0.3511;358203.19;;;;;0;0.0;;0;1
limpo;20949687000113;20949687;TO;2625906;soja;0.0;0.0;0;0.0;False;False;226;47983.72;05;2062;02;False;0210101;True;0;5;1;1;0;0;0.0;False;0.0;7076252.67;3896;1816.29;5129.4;;4004.9;-0.3294;61983.79;1163.5;-0.1957;26;-0.2281;;;;;0
passivo_ambiental_embargo;17352710000183;17352710;PI;4630374;soja;813226.93;266837.94;1;79621.64;False;True;551;60343.88;05;2135;02;False;0220901;True;0;6;1;0;0;13;131582.84;True;61.13;13048266.74;1086;12014.98;3730.29;;4454.7;0.2245;24466.93;1518.2;0.2463;22;-0.0198;;;;;0
limpo;86960402000153;86960402;MT;4881066;soja;0.0;0.0;0;0.0;False;False;338;117506.87;01;4014;02;False;0133403;True;1;6;1;0;0;0;0.0;False;0.0;;;;;;;;;;;;;6;106026.29;413;3;1
divida_ativa;39738898000135;39738898;TO;5373788;soja;147676.29;93512.27;9;15943.38;False;True;157;197372.03;01;2135;02;False;0311601;True;0;2;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;1;69559.63;794;1;0
divida_ativa;70251043000125;70251043;RS;4372021;soja;1675.55;1626.91;6;-300.32;True;True;316;2293.25;03;4014;02;False;0115600;True;0;2;2;1;1;0;0.0;False;0.0;4702656.59;2724;1726.38;4444.47;;2871.3;-0.1436;6684.69;1363.1;-0.0476;4;-0.0304;;;;;0
limpo;48530827000133;48530827;MA;2547930;soja;0.0;0.0;0;0.0;False;False;479;2893.61;05;2062;02;False;0133403;True;1;4;0;0;0;0;0.0;False;0.0;3056399.2;3421;893.42;2943.06;;3413.0;0.1153;12947.73;1079.8;-0.105;39;-0.2894;;;;;0
limpo;18304547000146;18304547;RS;1296511;soja;0.0;0.0;0;0.0;False;False;182;18376.55;01;2135;02;False;0133403;True;3;3;1;1;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
limpo;55414869000174;55414869;MS;2167433;soja;0.0;0.0;0;0.0;False;False;102;31118.06;03;4014;02;False;0113000;True;0;3;2;1;1;0;0.0;False;0.0;45698908.98;37;1235105.65;4640.03;;3388.1;-0.041;1178.06;747.3;0.3091;29;-0.1134;;;;;0
limpo;27307598000112;27307598;TO;4589069;soja;0.0;0.0;0;0.0;False;False;342;92193.51;01;4014;02;False;0111301;True;0;7;1;1;0;0;0.0;False;0.0;2443446.14;2744;890.47;4703.19;;2024.4;-0.0039;12496.35;1038.3;-0.1626;18;-0.1071;;;;;0
grupo_societario;55866538000175;55866538;MT;4952487;soja;0.0;0.0;0;0.0;False;False;308;293984.99;05;4014;02;False;0115600;True;0;3;10;9;3;0;0.0;False;0.0;;;;;;4283.3;-0.0501;26781.4;1142.6;-0.1312;16;-0.1184;;;;;0
passivo_ambiental_auto;93851247000100;93851247;MT;4952487;soja;0.0;0.0;0;0.0;False;False;249;86964.14;03;4014;02;False;0151201;True;0;8;0;0;0;12;104396.26;False;0.0;;;;;;4283.3;-0.0501;26781.4;1142.6;-0.1312;16;-0.1184;;;;;0
situacao_irregular;36040410000103;36040410;RS;1296511;soja;0.0;0.0;0;0.0;False;False;397;728285.81;05;4014;04;True;0121101;True;2;4;1;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
passivo_ambiental_auto;84429198000113;84429198;RS;1296511;soja;0.0;0.0;0;0.0;False;False;91;203934.97;05;2135;02;False;0121101;True;0;4;2;1;1;14;18336.21;False;0.0;;;;;;;;;;;;;;;;;0
limpo;77378254000172;77378254;BA;1993507;soja;0.0;0.0;0;0.0;False;False;107;777456.78;01;2135;02;False;0115600;True;0;8;0;0;0;0;0.0;False;0.0;;;;;;3041.8;-0.0835;4445.58;1427.8;0.2926;16;-0.2083;;;;;0
divida_ativa;72962895000156;72962895;GO;2092240;soja;4940.06;93.88;4;1817.8;False;False;546;9780.0;01;2240;02;False;0111301;True;0;7;0;0;0;0;0.0;False;0.0;3025600.14;2445;1237.46;6478.28;;;;;;;;;;;;;0
limpo;24879094000189;24879094;TO;2625906;soja;0.0;0.0;0;0.0;False;False;253;826721.55;05;2135;02;False;0151201;True;0;6;2;0;1;0;0.0;False;0.0;7076252.67;3896;1816.29;5129.4;;4004.9;-0.3294;61983.79;1163.5;-0.1957;26;-0.2281;1;21671.26;372;1;0
limpo;78131950000142;78131950;MA;1849363;soja;0.0;0.0;0;0.0;False;False;388;90256.33;03;2062;02;False;0210101;True;1;6;1;0;0;0;0.0;False;0.0;1890436.06;790;2392.96;3254.5;;2951.6;0.2319;11567.52;1244.5;-0.2244;14;0.2749;6;3339.74;139;1;0
passivo_ambiental_auto;33500064000100;33500064;MT;4872493;soja;0.0;0.0;0;0.0;False;False;192;37361.82;01;2062;02;False;0133403;True;0;4;2;0;0;8;334290.72;False;0.0;12871579.85;766;16803.63;1283.72;;2678.2;-0.0379;315502.18;1164.2;-0.4814;30;-0.3935;;;;;0
passivo_ambiental_embargo;82884346000164;82884346;PI;4630374;soja;0.0;0.0;0;0.0;False;False;54;60636.28;05;2240;02;False;0151201;True;0;6;0;0;0;13;13940.05;True;1322.01;13048266.74;1086;12014.98;3730.29;;4454.7;0.2245;24466.93;1518.2;0.2463;22;-0.0198;;;;;0
grupo_societario;76599269000106;76599269;MT;4872493;soja;0.0;0.0;0;0.0;False;False;440;377670.64;01;2054;02;False;0311601;True;3;3;19;17;4;0;0.0;False;0.0;12871579.85;766;16803.63;1283.72;;2678.2;-0.0379;315502.18;1164.2;-0.4814;30;-0.3935;;;;;0
limpo;49680122000165;49680122;TO;2599733;soja;0.0;0.0;0;0.0;False;False;463;7303629.98;03;4014;02;False;0121101;True;0;1;1;0;0;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
limpo;14179623000188;14179623;PA;3572518;soja;0.0;0.0;0;0.0;False;False;381;493937.09;03;2054;02;False;0311601;True;0;3;1;1;0;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;2;17082.07;143;2;0
limpo;25226815000114;25226815;TO;1628136;soja;57688.98;32402.33;5;18458.83;False;True;298;16684.97;01;2062;02;False;0113000;True;1;8;2;0;1;0;0.0;False;0.0;22713744.04;630;36053.56;4855.95;;;;;;;;;;;;;0
grupo_societario;52894344000195;52894344;PA;3572518;soja;0.0;0.0;0;0.0;False;False;167;277.21;05;2135;02;False;0210101;True;0;2;20;6;2;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;;;;;0
limpo;84359498000173;84359498;GO;2856025;soja;0.0;0.0;0;0.0;False;False;73;11698.64;05;2054;02;False;0220901;True;0;7;2;2;0;0;0.0;False;0.0;4215365.78;477;8837.24;5811.42;;1816.6;-0.0367;157568.54;1022.2;-0.0563;11;-0.2071;;;;;0
limpo;70394554000104;70394554;MT;4881066;soja;0.0;0.0;0;0.0;False;False;192;196391823.68;01;2054;02;False;0220901;True;1;1;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
limpo;32099899000138;32099899;RS;3466531;soja;0.0;0.0;0;0.0;False;False;296;407955.29;05;4014;02;False;0151201;True;0;5;0;0;0;0;0.0;False;0.0;3897875.17;1357;2872.42;4389.67;;;;;;;;;;;;;0
limpo;32633927000155;32633927;TO;2599733;soja;0.0;0.0;0;0.0;False;False;351;54821.06;05;2062;02;False;0115600;True;0;5;0;0;0;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
limpo;95763946000116;95763946;RS;4372021;soja;14793.17;11903.89;7;-917.96;True;True;456;18143204.75;03;2054;02;False;0133403;True;0;3;2;1;1;0;0.0;False;0.0;4702656.59;2724;1726.38;4444.47;;2871.3;-0.1436;6684.69;1363.1;-0.0476;4;-0.0304;;;;;0
grupo_societario;27551135000100;27551135;MT;5020745;soja;0.0;0.0;0;0.0;False;False;279;66551.62;01;2240;02;False;0121101;True;1;7;6;1;1;0;0.0;False;0.0;16832610.2;2938;5729.28;2659.43;;2865.5;-0.0685;23248.53;1087.1;-0.1985;10;0.5319;;;;;0
divida_ativa;35479101000171;35479101;RS;4372021;soja;61287.94;28610.14;5;5999.86;True;True;474;656301.77;03;2062;02;False;0115600;True;0;8;1;1;0;0;0.0;False;0.0;4702656.59;2724;1726.38;4444.47;;2871.3;-0.1436;6684.69;1363.1;-0.0476;4;-0.0304;;;;;0
limpo;45496951000131;45496951;MT;3486350;soja;0.0;0.0;0;0.0;False;False;205;136749.35;03;4014;02;False;0151201;True;0;8;1;1;0;0;0.0;False;0.0;65163087.4;3987;16343.89;5719.93;;2279.5;0.0795;14132.81;;;;;1;132146.73;816;1;0
divida_ativa;36717096000150;36717096;MT;4091416;soja;33981.1;1539.46;3;9204.58;False;False;158;29867.04;03;4014;02;False;0210101;True;0;5;1;1;0;0;0.0;False;0.0;9930345.71;3827;2594.81;2854.45;;2593.6;0.1175;64737.72;;;;;;;;;0
limpo;12232974000180;12232974;TO;5373788;soja;0.0;0.0;0;0.0;False;False;33;43674.02;05;2054;02;False;0151201;True;2;4;1;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
divida_ativa;61028283000174;61028283;PR;4168991;soja;50485.4;9631.82;8;-2476.11;True;False;426;2137145.38;05;4014;02;False;0133403;True;1;1;2;2;0;0;0.0;False;0.0;;;;;;3272.2;-0.2374;11409.04;801.1;0.1095;21;-0.0934;;;;;0
limpo;98882576000124;98882576;MT;3047606;soja;0.0;0.0;0;0.0;False;False;368;32355.75;05;2240;02;False;0311601;True;0;4;0;0;0;0;0.0;False;0.0;3490150.22;1814;1924.01;3376.09;;;;;;;;;;;;;0
limpo;49945150000167;49945150;TO;5373788;soja;0.0;0.0;0;0.0;False;False;363;5923.1;05;2240;02;False;0151201;True;0;7;2;1;1;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
limpo;48605090000170;48605090;TO;2782512;soja;0.0;0.0;0;0.0;False;False;225;362829.2;05;2240;02;False;0113000;True;0;4;1;0;0;0;0.0;False;0.0;;;;;;2863.3;-0.1129;5150.27;910.7;0.2631;25;0.1329;;;;;0
limpo;41250794000129;41250794;RS;3466531;soja;381697.65;260009.38;3;-112927.1;False;False;422;19072.55;03;2054;02;False;0116401;True;0;5;2;1;1;0;0.0;False;0.0;3897875.17;1357;2872.42;4389.67;;;;;;;;;;;;;0
limpo;41168067000117;41168067;TO;2599733;soja;0.0;0.0;0;0.0;False;False;186;7259.04;01;2054;02;False;0133403;True;0;5;0;0;0;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
limpo;90904160000158;90904160;MA;1813278;soja;0.0;0.0;0;0.0;False;False;542;2030.52;05;2054;02;False;0151201;True;0;2;1;1;0;0;0.0;False;0.0;;;;;;3988.3;0.1576;4152.02;852.3;0.0456;18;-0.0187;;;;;0
limpo;34991216000188;34991216;TO;1628136;soja;52944.77;40094.16;3;9994.05;False;True;443;80423.81;05;2062;02;False;0113000;True;2;8;1;1;0;0;0.0;False;0.0;22713744.04;630;36053.56;4855.95;;;;;;;;;;;;;1
limpo;45835371000121;45835371;MS;2167433;soja;0.0;0.0;0;0.0;False;False;374;166561.93;05;2135;02;False;0115600;True;0;8;2;1;0;0;0.0;False;0.0;45698908.98;37;1235105.65;4640.03;;3388.1;-0.041;1178.06;747.3;0.3091;29;-0.1134;;;;;0
situacao_irregular;51738753000130;51738753;BA;3889457;soja;0.0;0.0;0;0.0;False;False;142;22629.73;05;2240;08;True;0121101;True;0;8;1;0;0;0;0.0;False;0.0;;;;;;3266.5;0.0304;5248.27;1073.2;0.0666;5;0.3658;;;;;0
passivo_ambiental_auto;20988446000183;20988446;GO;3838683;soja;0.0;0.0;0;0.0;False;False;120;239613.63;01;4014;02;False;0220901;True;0;3;2;0;1;12;336322.01;False;0.0;8577457.59;2126;4034.55;3501.48;;;;;;;;;;;;;0
limpo;78501420000149;78501420;MT;1342092;soja;0.0;0.0;0;0.0;False;False;65;35432.52;05;2054;02;False;0151201;True;0;7;0;0;0;0;0.0;False;0.0;722846.84;2362;306.03;1988.84;;3594.8;0.0837;14558.01;663.4;-0.0379;31;0.4066;;;;;0
divida_ativa;87619624000170;87619624;MA;1813278;soja;31218.22;29176.01;2;15262.89;False;True;190;318790.56;01;2054;02;False;0210101;True;3;7;1;1;0;0;0.0;False;0.0;;;;;;3988.3;0.1576;4152.02;852.3;0.0456;18;-0.0187;;;;;0
grupo_societario;82383656000103;82383656;PA;3572518;soja;0.0;0.0;0;0.0;False;False;547;7085008.49;01;2062;02;False;0151201;True;0;7;6;4;3;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;;;;;0
limpo;30820038000171;30820038;RS;2897684;soja;0.0;0.0;0;0.0;False;False;435;7908490.24;05;2062;02;False;0116401;True;0;2;2;2;0;0;0.0;False;0.0;25576731.08;1000;25576.73;5293.87;;3022.4;-0.1789;34484.31;791.9;0.1416;23;-0.3386;;;;;0
divida_ativa;16533225000143;16533225;PA;3572518;soja;15357.26;13264.53;1;-2885.5;False;True;332;400618.62;05;4014;02;False;0210101;True;0;3;0;0;0;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;;;;;0
limpo;50332555000109;50332555;RS;3466531;soja;0.0;0.0;0;0.0;False;False;443;103547.68;03;2054;02;False;0220901;True;0;7;2;1;0;0;0.0;False;0.0;3897875.17;1357;2872.42;4389.67;;;;;;;;;;;;;0
divida_ativa;73554620000146;73554620;MT;4952487;soja;37147.84;26284.95;8;16040.18;False;False;548;462319.47;01;2240;02;False;0111301;True;1;6;0;0;0;0;0.0;False;0.0;;;;;;4283.3;-0.0501;26781.4;1142.6;-0.1312;16;-0.1184;;;;;1
limpo;60622628000150;60622628;TO;1926828;soja;0.0;0.0;0;0.0;False;False;228;518377.28;03;2135;02;False;0210101;True;0;1;0;0;0;0;0.0;False;0.0;1592038.63;3955;402.54;2086.07;;2103.1;-0.0625;2779.51;847.2;0.0075;25;0.3455;;;;;0
grupo_societario;25745913000168;25745913;TO;1926828;soja;0.0;0.0;0;0.0;False;False;412;1431721.31;03;2054;02;False;0133403;True;0;6;10;4;2;0;0.0;False;0.0;1592038.63;3955;402.54;2086.07;;2103.1;-0.0625;2779.51;847.2;0.0075;25;0.3455;;;;;0
limpo;73013937000175;73013937;GO;2856025;soja;0.0;0.0;0;0.0;False;False;232;52921.58;05;2135;02;False;0115600;True;0;7;0;0;0;0;0.0;False;0.0;4215365.78;477;8837.24;5811.42;;1816.6;-0.0367;157568.54;1022.2;-0.0563;11;-0.2071;;;;;0
limpo;60981231000155;60981231;TO;1926828;soja;0.0;0.0;0;0.0;False;False;269;216472.42;05;2054;02;False;0133403;True;0;6;2;0;0;0;0.0;False;0.0;1592038.63;3955;402.54;2086.07;;2103.1;-0.0625;2779.51;847.2;0.0075;25;0.3455;;;;;0
limpo;82764376000137;82764376;GO;2856025;soja;0.0;0.0;0;0.0;False;False;55;20090.34;01;2054;02;False;0113000;True;1;4;2;0;0;0;0.0;False;0.0;4215365.78;477;8837.24;5811.42;;1816.6;-0.0367;157568.54;1022.2;-0.0563;11;-0.2071;0;0.0;;0;0
limpo;92924441000106;92924441;BA;3797806;soja;0.0;0.0;0;0.0;False;False;550;136303.19;05;2240;02;False;0220901;True;2;1;1;1;0;0;0.0;False;0.0;4577751.8;3577;1279.77;1116.86;;3266.8;-0.1381;29664.1;1160.2;-0.1501;25;-0.5722;;;;;0
